CustomerID,Country,Segment,SegmentRank,Cluster,Recency,Frequency,Monetary,TotalItems,R_Score,F_Score,M_Score,RFM_Score,FirstPurchase,LastPurchase,PC1,PC2
12346,United Kingdom,Champions,0,2,326,12,77556.46,74285,4,1,1,411,2009-12-14 08:34:00,2011-01-18 10:01:00,2.2775763873703765,2.440651955358313
12347,Iceland,Champions,0,2,2,8,4921.53,2967,1,1,1,111,2010-10-31 14:20:00,2011-12-07 15:52:00,2.3139045478650653,-1.107910245553665
12348,Finland,Loyal Customers,1,3,75,5,2019.4,2714,3,2,2,322,2010-09-27 14:59:00,2011-09-25 13:13:00,0.5706375955145165,0.25882035594870945
12349,Italy,At Risk,2,1,19,4,4428.69,1624,1,2,1,121,2010-04-29 13:20:00,2011-11-21 09:51:00,1.205787422497485,-0.3089007104322737
12350,Norway,Hibernating,3,0,310,1,334.4,197,4,4,4,444,2011-02-02 16:01:00,2011-02-02 16:01:00,-1.505611934869773,0.09462369775544668
12351,Unspecified,Hibernating,3,0,375,1,300.93,261,4,4,4,444,2010-11-29 15:23:00,2010-11-29 15:23:00,-1.6128509102844184,0.16777276291628382
12352,Norway,Champions,0,2,36,10,2849.84,724,2,1,2,212,2010-11-12 10:20:00,2011-11-03 14:37:00,1.4158084396568704,0.1873808245880501
12353,Bahrain,Hibernating,3,0,204,2,406.76,212,4,3,4,434,2010-10-27 12:44:00,2011-05-19 17:47:00,-0.976436039387409,0.07204547653256303
12354,Spain,Hibernating,3,0,232,1,1079.4,530,4,4,3,443,2011-04-21 13:11:00,2011-04-21 13:11:00,-0.902385097699336,0.2860735921319563
12355,Bahrain,Loyal Customers,1,3,214,2,947.61,543,4,3,3,433,2010-05-21 11:59:00,2011-05-09 13:49:00,-0.623900577087633,0.3514324930015368
12356,Portugal,Champions,0,2,23,6,6371.73,3416,2,2,1,221,2010-10-11 09:42:00,2011-11-17 08:40:00,1.5618307123678101,0.02407282053559511
12357,Switzerland,Champions,0,2,33,3,18287.66,6587,2,3,1,231,2010-11-16 10:05:00,2011-11-06 16:07:00,1.4818525890156349,0.3269819709099298
12358,Austria,Champions,0,2,2,5,3887.07,1079,1,2,1,121,2009-12-08 07:59:00,2011-12-08 10:26:00,1.9019401785366936,-1.3273313816562469
12359,Cyprus,Champions,0,2,58,10,8873.39,2739,2,1,1,211,2009-12-05 13:32:00,2011-10-13 12:47:00,1.7596634798167112,0.7851381391853793
12360,Austria,Champions,0,2,52,8,4252.89,2459,2,1,1,211,2010-02-22 09:32:00,2011-10-18 15:22:00,1.3209105498240763,0.4319544354741979
12361,Belgium,Loyal Customers,1,3,287,4,511.25,235,4,2,4,424,2010-01-26 14:37:00,2011-02-25 13:51:00,-0.5975452386062331,0.5152453681978114
12362,Belgium,Champions,0,2,3,11,5356.23,2230,1,1,1,111,2009-12-01 10:10:00,2011-12-06 15:40:00,2.477029555875266,-0.8183916488600341
12363,Unspecified,Hibernating,3,0,110,2,552.0,408,3,3,4,334,2011-04-11 13:29:00,2011-08-22 10:18:00,-0.6451156657484318,-0.17492622199821578
12364,Belgium,At Risk,2,1,8,4,1313.1,1506,1,2,2,122,2011-08-19 15:24:00,2011-12-02 10:22:00,0.9346439662479252,-1.1135528856898205
12365,Cyprus,Hibernating,3,0,291,2,641.38,174,4,3,3,433,2011-02-21 13:51:00,2011-02-21 14:04:00,-0.8928504165678813,0.4033796413561539
12366,Cyprus,Hibernating,3,0,634,1,500.24,296,5,4,4,544,2010-03-16 10:28:00,2010-03-16 10:28:00,-1.5615469197516916,0.6087228288203972
12367,Denmark,At Risk,2,1,4,1,168.9,173,1,4,5,145,2011-12-05 16:48:00,2011-12-05 16:48:00,-0.46527881143055305,-2.3870172303746666
12368,Cyprus,Hibernating,3,0,628,1,917.6999999999999,330,5,4,3,543,2010-03-21 15:56:00,2010-03-21 15:56:00,-1.294437646329007,0.7851249591160452
12369,Austria,Loyal Customers,1,3,413,3,1791.15,1241,5,3,2,532,2010-03-08 08:09:00,2010-10-22 13:13:00,-0.33936384385057317,1.0089909727927258
12370,Cyprus,Champions,0,2,51,7,4316.56,2604,2,2,1,221,2010-02-09 09:41:00,2011-10-19 14:51:00,1.2437432106905097,0.38270918889984124
12371,Switzerland,Loyal Customers,1,3,45,5,4067.38,1436,2,2,1,221,2010-03-04 18:23:00,2011-10-26 10:16:00,1.0381656143202418,0.19177480111635745
12372,Denmark,Loyal Customers,1,3,72,3,1298.04,794,3,3,2,332,2011-02-16 12:46:00,2011-09-29 12:12:00,0.08203805616076368,-0.04449612908910458
12373,Austria,Loyal Customers,1,3,311,3,1127.65,516,4,3,3,433,2010-02-04 12:08:00,2011-02-01 13:10:00,-0.4493284924502775,0.7143790978640704
12374,Austria,At Risk,2,1,25,4,2989.2200000000003,1362,2,2,1,221,2010-04-30 14:01:00,2011-11-14 15:37:00,0.9496178030359919,-0.2820298176088503
12375,Finland,At Risk,2,1,11,2,457.5,178,1,3,4,134,2011-09-02 14:23:00,2011-11-29 10:36:00,-0.00681892532373436,-1.4579093077682057
12376,Switzerland,Hibernating,3,0,390,2,503.15,240,4,3,4,434,2010-10-18 08:42:00,2010-11-15 12:15:00,-1.0929322394360899,0.4917400128632199
12377,Switzerland,Loyal Customers,1,3,315,4,3426.32,2105,4,2,1,421,2010-04-29 15:34:00,2011-01-28 15:45:00,0.200751120539168,1.1362361346997194
12378,Switzerland,Loyal Customers,1,3,130,2,5416.32,3316,3,3,1,331,2010-05-26 14:07:00,2011-08-02 10:34:00,0.29575107759915553,0.6005629911125564
12379,Belgium,Loyal Customers,1,3,82,4,1620.22,815,3,2,2,322,2010-06-23 12:49:00,2011-09-19 10:09:00,0.30718225045377695,0.1745557629932406
12380,Belgium,Champions,0,2,22,11,9676.300000000001,3355,2,1,1,211,2010-02-15 12:05:00,2011-11-18 11:27:00,2.1686300534971577,0.3235100959788679
12381,Norway,At Risk,2,1,5,5,1845.31,808,1,2,2,122,2011-08-12 09:57:00,2011-12-05 12:44:00,1.353067744418011,-1.1683486390918607
12383,Belgium,Loyal Customers,1,3,185,5,1850.56,1532,3,2,2,322,2010-12-22 14:28:00,2011-06-08 08:02:00,0.24295046470976187,0.7262268985373166
12384,Switzerland,At Risk,2,1,29,2,585.27,126,2,3,4,234,2011-08-10 11:23:00,2011-11-11 08:39:00,-0.1962346284878461,-0.8789114833504005
12385,Belgium,Loyal Customers,1,3,379,1,1938.4,612,4,4,2,442,2010-11-25 15:14:00,2010-11-25 15:14:00,-0.805724700819607,0.7312069854116092
12386,Australia,Hibernating,3,0,338,2,401.9,354,4,3,4,434,2010-12-08 09:53:00,2011-01-06 12:37:00,-1.1444460395708218,0.34583236200445
12387,Australia,Hibernating,3,0,415,1,143.94,134,5,4,5,545,2010-10-20 16:27:00,2010-10-20 16:27:00,-1.9653878280525414,0.0035122903606198746
12388,Australia,Champions,0,2,16,8,3901.11,2001,1,1,1,111,2010-05-06 12:54:00,2011-11-24 12:30:00,1.6512915157703651,-0.22098192285552645
12389,Australia,Loyal Customers,1,3,403,3,1433.33,614,4,3,2,432,2010-02-22 10:15:00,2010-11-02 11:52:00,-0.42850998065675033,0.9287374622806693
12390,Belgium,Hibernating,3,0,80,1,549.84,353,3,4,4,344,2011-09-21 09:33:00,2011-09-21 09:33:00,-0.8540065067423301,-0.4985525200435607
12391,Cyprus,Champions,0,2,22,6,2724.84,1204,2,2,2,222,2010-02-15 10:12:00,2011-11-18 12:07:00,1.2055054540882846,-0.2539978118118463
12392,Australia,Hibernating,3,0,591,1,234.75000000000003,73,5,4,5,545,2010-04-27 14:04:00,2010-04-27 14:04:00,-1.8675796910823739,0.34391641511982707
12393,Australia,Loyal Customers,1,3,72,6,2399.4500000000003,1311,3,2,2,322,2010-10-07 13:49:00,2011-09-28 15:41:00,0.7763211718284525,0.34481531861485665
12394,Belgium,At Risk,2,1,64,2,1272.48,819,3,3,2,332,2011-05-06 14:01:00,2011-10-07 08:08:00,-0.1084070848796166,-0.21996551971917222
12395,Belgium,Champions,0,2,19,15,4721.17,3205,1,1,1,111,2010-04-16 10:16:00,2011-11-20 15:21:00,2.1205227640367093,0.1368317395921722
12396,RSA,Hibernating,3,0,674,1,931.43,591,5,4,3,543,2010-02-03 13:22:00,2010-02-03 13:22:00,-1.3108154192394297,0.828495441657441
12397,Belgium,At Risk,2,1,36,2,2409.9,1263,2,3,2,232,2011-07-27 14:21:00,2011-11-04 09:52:00,0.35209511287170725,-0.33935664037124463
12398,Switzerland,At Risk,2,1,46,1,1635.6599999999999,1394,2,4,2,242,2011-10-25 10:27:00,2011-10-25 10:27:00,-0.20328567004118653,-0.4722495933135317
12399,Belgium,Loyal Customers,1,3,119,7,1962.3,2198,3,2,2,322,2010-03-05 08:45:00,2011-08-12 13:15:00,0.629671221741632,0.6076140283793731
12400,Australia,Hibernating,3,0,414,1,205.25,91,5,4,5,545,2010-10-21 13:45:00,2010-10-21 13:45:00,-1.8108740891111967,0.107943151860332
12401,Belgium,Hibernating,3,0,303,1,84.3,11,4,4,5,445,2011-02-09 13:50:00,2011-02-09 13:50:00,-2.094912023079846,-0.32839336138199327
12402,Belgium,Loyal Customers,1,3,323,6,1256.9,584,4,2,2,422,2010-02-07 12:41:00,2011-01-20 13:49:00,0.012398875799896325,0.9729243766189698
12403,Denmark,At Risk,2,1,50,2,1019.36,260,2,3,3,233,2010-07-06 11:39:00,2011-10-21 10:51:00,-0.12647700296492784,-0.4201635128241696
12404,Finland,Hibernating,3,0,682,1,63.24,1,5,4,5,545,2010-01-26 16:25:00,2010-01-26 16:25:00,-2.480451851941216,0.032993451127416515
12405,Finland,Loyal Customers,1,3,149,1,1710.39,857,3,4,2,342,2011-07-14 08:52:00,2011-07-14 08:52:00,-0.5594013478991714,0.18110423222551036
12406,Denmark,Champions,0,2,22,5,6390.36,3416,2,2,1,221,2010-01-11 14:04:00,2011-11-17 19:22:00,1.4593408470059916,-0.05505408652958884
12407,Belgium,Loyal Customers,1,3,50,5,1708.1200000000001,1416,2,2,2,222,2011-03-20 13:21:00,2011-10-21 10:11:00,0.6268218862686109,-0.01132395284621991
12408,Belgium,Champions,0,2,33,8,4340.7699999999995,2229,2,1,1,211,2010-07-29 13:27:00,2011-11-07 12:27:00,1.4734930305292497,0.19327200485073995
12409,Switzerland,Champions,0,2,79,7,23419.29,13143,3,2,1,321,2010-05-23 15:21:00,2011-09-22 10:38:00,1.8412174214018584,1.1271964019322729
12410,Switzerland,Loyal Customers,1,3,309,3,1013.71,341,4,3,3,433,2010-07-25 13:26:00,2011-02-04 10:39:00,-0.49362420750815866,0.6789287920216511
12411,Australia,Hibernating,3,0,410,1,346.9,138,4,4,4,444,2010-10-26 09:25:00,2010-10-26 09:25:00,-1.5798949114067624,0.2593421829837908
12412,Denmark,Loyal Customers,1,3,75,6,2596.93,1997,3,2,2,322,2010-06-18 13:22:00,2011-09-26 10:16:00,0.7977405372675023,0.3907263145176263
12413,France,Loyal Customers,1,3,67,4,999.45,319,3,2,3,323,2010-11-02 13:26:00,2011-10-04 09:00:00,0.16132250368339848,-0.08008868347432271
12414,Austria,Loyal Customers,1,3,217,6,952.41,495,4,2,3,423,2010-09-02 12:22:00,2011-05-06 14:51:00,0.019856180808661895,0.6713180698855145
12415,Australia,Champions,0,2,24,28,144458.37,91447,2,1,1,211,2010-06-30 08:30:00,2011-11-15 14:22:00,3.9924891117096397,1.503499872031853
12416,Australia,Hibernating,3,0,657,1,202.56,132,5,4,5,545,2010-02-21 10:19:00,2010-02-21 10:19:00,-1.9657667125792082,0.3581922425526731
12417,Belgium,Champions,0,2,3,20,6797.41,2884,1,1,1,111,2009-12-06 10:30:00,2011-12-06 14:52:00,3.007545927110921,-0.5417395001029409
12418,Switzerland,Loyal Customers,1,3,113,4,2021.2,1088,3,2,2,322,2010-03-19 14:47:00,2011-08-19 11:08:00,0.30078814437582163,0.41582415887209767
12419,Spain,Hibernating,3,0,386,2,503.01,231,4,3,4,434,2010-10-22 10:40:00,2010-11-19 10:04:00,-1.0897253897921086,0.4859861071527982
12420,Cyprus,At Risk,2,1,64,1,600.39,345,3,4,4,344,2011-10-07 08:55:00,2011-10-07 08:55:00,-0.744524591301358,-0.5935872865374775
12421,Spain,At Risk,2,1,16,6,1098.6,652,1,2,3,123,2010-07-22 13:57:00,2011-11-24 09:07:00,0.9077064659611177,-0.6928572572954376
12422,Switzerland,Champions,0,2,96,17,5231.8,2596,3,1,1,311,2009-12-18 12:44:00,2011-09-05 09:48:00,1.7440646329731488,1.0815604886385302
12423,Belgium,Champions,0,2,1,10,2622.39,1793,1,1,2,112,2010-08-31 09:31:00,2011-12-09 10:10:00,2.323863290684862,-1.446594829198545
12424,Australia,Loyal Customers,1,3,163,4,3340.03,2025,3,2,1,321,2010-06-09 15:15:00,2011-06-30 12:06:00,0.4019022378407423,0.766898904050857
12425,Portugal,Loyal Customers,1,3,78,2,1741.41,1147,3,3,2,332,2010-09-17 14:10:00,2011-09-22 17:31:00,-0.03490681970784406,-0.018406204494917287
12426,Germany,Loyal Customers,1,3,195,2,1345.21,584,4,3,2,432,2010-02-15 08:41:00,2011-05-29 12:26:00,-0.4414067051435947,0.4053522135388001
12427,Germany,At Risk,2,1,22,3,825.8,533,2,3,3,233,2010-12-03 10:44:00,2011-11-18 08:56:00,0.25892420785791265,-0.816871545396099
